"행정구역","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0~9세","2021년08월_계_10~19세","2021년08월_계_20~29세","2021년08월_계_30~39세","2021년08월_계_40~49세","2021년08월_계_50~59세","2021년08월_계_60~69세","2021년08월_계_70~79세","2021년08월_계_80~89세","2021년08월_계_90~99세","2021년08월_계_100세 이상"
"서울특별시 도봉구 방학제1동(1132069000)","28,742","28,742","1,475","2,136","3,891","3,259","4,141","5,295","4,756","2,645","991","148","5"
"서울특별시 도봉구 방학제2동(1132070000)","19,756","19,756","858","1,452","2,581","2,138","2,743","3,736","3,407","1,919","816","98","8"
"서울특별시 도봉구 방학제3동(1132071000)","27,356","27,356","1,853","2,673","3,256","3,086","4,100","4,737","4,558","1,900","1,019","167","7"
"서울특별시 노원구 (1135000000)","514,050","514,050","31,284","51,121","71,052","63,385","82,946","87,006","70,189","37,310","17,129","2,499","129"
"서울특별시 노원구 월계1동(1135056000)","21,787","21,787","1,130","1,627","3,733","2,596","3,320","3,439","3,148","1,920","756","108","10"
"서울특별시 노원구 월계2동(1135057000)","26,921","26,921","1,648","2,048","3,118","3,127","4,166","4,550","4,484","2,517","1,074","182","7"
"서울특별시 노원구 월계3동(1135058000)","30,144","30,144","2,148","2,076","3,499","4,508","4,533","4,749","4,707","2,606","1,173","139","6"
"서울특별시 노원구 공릉1동(1135059500)","36,937","36,937","1,972","2,596","6,547","5,228","5,309","5,692","5,563","2,788","1,079","158","5"
"서울특별시 노원구 공릉2동(1135060000)","38,993","38,993","2,753","4,206","6,592","5,107","6,310","6,000","4,653","2,240","990","138","4"
"서울특별시 노원구 하계1동(1135061100)","26,800","26,800","1,082","2,990","4,411","2,702","4,023","4,945","3,695","1,830","984","132","6"
"서울특별시 노원구 하계2동(1135061200)","22,224","22,224","1,432","2,715","2,979","2,498","3,902","3,876","2,644","1,365","713","99","1"
"서울특별시 노원구 중계본동(1135061900)","24,216","24,216","1,479","4,421","3,117","1,813","4,863","4,549","2,298","1,050","554","68","4"
"서울특별시 노원구 중계1동(1135062100)","27,046","27,046","1,914","5,605","2,908","1,987","6,365","4,547","2,176","960","509","69","6"
"서울특별시 노원구 중계4동(1135062400)","20,142","20,142","1,093","2,188","2,522","1,902","3,375","3,573","2,682","1,887","789","127","4"
"서울특별시 노원구 중계2.3동(1135062500)","34,689","34,689","1,911","3,082","4,180","4,157","5,594","5,647","4,960","3,281","1,646","222","9"
"서울특별시 노원구 상계1동(1135063000)","38,431","38,431","2,197","3,297","5,167","4,790","5,566","6,894","6,135","2,902","1,276","196","11"
"서울특별시 노원구 상계2동(1135064000)","20,101","20,101","934","1,778","3,207","2,303","2,917","3,877","2,973","1,412","601","92","7"
"서울특별시 노원구 상계3.4동(1135066500)","26,455","26,455","1,342","2,017","3,181","2,840","3,785","4,704","4,463","2,728","1,235","136","24"
"서울특별시 노원구 상계5동(1135067000)","24,118","24,118","1,038","1,988","3,358","2,589","3,511","4,454","3,801","2,252","964","154","9"
"서울특별시 노원구 상계6.7동(1135069500)","32,947","32,947","2,312","2,943","4,466","4,854","5,330","5,653","4,158","2,006","1,025","193","7"
"서울특별시 노원구 상계8동(1135070000)","22,698","22,698","2,316","1,945","2,734","4,727","3,803","3,041","2,316","1,170","557","85","4"
"서울특별시 노원구 상계9동(1135071000)","20,681","20,681","1,280","1,998","2,709","2,754","3,351","3,566","2,859","1,369","675","116","4"
"서울특별시 노원구 상계10동(1135072000)","18,720","18,720","1,303","1,601","2,624","2,903","2,923","3,250","2,474","1,027","529","85","1"
"서울특별시 은평구 (1138000000)","474,414","474,414","28,284","37,531","66,090","66,964","74,640","76,856","66,424","38,670","16,622","2,045","288"
"서울특별시 은평구 녹번동(1138051000)","36,818","36,818","2,379","2,206","4,948","5,979","5,582","5,852","5,249","3,120","1,320","178","5"
"서울특별시 은평구 불광제1동(1138052000)","38,763","38,763","2,270","2,589","5,210","5,327","5,770","6,584","5,730","3,448","1,631","191","13"
"서울특별시 은평구 불광제2동(1138053000)","27,870","27,870","1,047","1,694","4,260","3,787","3,705","4,827","4,524","2,742","1,138","132","14"
"서울특별시 은평구 갈현제1동(1138055100)","22,400","22,400","943","1,469","3,610","2,922","3,132","3,877","3,570","2,025","747","99","6"
"서울특별시 은평구 갈현제2동(1138055200)","28,488","28,488","1,460","2,351","4,342","3,802","4,586","4,762","3,808","2,297","959","109","12"
